name,version,status,observable,remoteType,remoteUrl,pkgKinds,httpReachable,httpStatus,handshake,toolsListed,authRequired,toolCount,annotatedTools,readOnlyHint,destructiveHint,idempotentHint,openWorldHint,failReason
io.github.ljdigital/au-bizintel-mcp,0.3.0,active,false,,,npm,false,,,false,false,0,0,0,0,0,0,no-remote-endpoint
io.github.PalabreX/runpay,1.0.0,active,true,streamable-http,https://runpay-backend-visibility-production.up.railway.app/mcp,,true,200,initialize,true,false,2,0,0,0,0,0,
io.github.ArkNill/feedkit,0.1.0,active,false,,,pypi,false,,,false,false,0,0,0,0,0,0,no-remote-endpoint
ai.lucasandersen/mlp-tax,1.0.0,active,true,streamable-http,https://api.lucasandersen.ai/mcp,,true,200,initialize,true,false,6,6,6,0,6,0,
new.capital/mandate-tools,0.1.0,active,true,streamable-http,https://capital.new/mcp,,true,200,initialize,true,false,3,0,0,0,0,0,
io.github.cyanheads/openaq-mcp-server,0.1.8,active,true,streamable-http,https://openaq.caseyjhand.com/mcp,npm,true,200,initialize,true,false,7,7,7,0,5,3,
com.zippfeed/zipp,1.0.2,active,true,streamable-http,https://zippfeed.com/mcp/,,true,200,initialize,true,false,13,0,0,0,0,0,
io.github.Evozim/deepfake-sentinel-mcp,2.0.0,active,true,sse,https://api.m2mcent.com/deepfake-sentinel-mcp/sse,,true,402,,false,false,0,0,0,0,0,0,sse-open-failed(http 402)
io.veezee/linkedin,3.1.0,active,true,streamable-http,https://mcp.veezee.io/linkedin,,true,401,,false,true,0,0,0,0,0,0,auth-required-401
io.github.uxlint-net/uxlint,0.1.30,active,false,,,npm,false,,,false,false,0,0,0,0,0,0,no-remote-endpoint
io.github.sugukurukabe/koko-call,0.2.0,active,false,,,npm,false,,,false,false,0,0,0,0,0,0,no-remote-endpoint
io.github.StooryBot/stoory-mcp,0.1.0,active,true,streamable-http,https://mcp.stoory.io/mcp,,true,200,initialize,true,false,6,0,0,0,0,0,
io.github.KIOKO-LAB/freshvault,0.4.0,active,false,,,npm,false,,,false,false,0,0,0,0,0,0,no-remote-endpoint
io.github.codespar/mcp-xero,0.2.2,active,false,,,npm,false,,,false,false,0,0,0,0,0,0,no-remote-endpoint
io.github.AIops-tools/proxmox-aiops,0.12.0,active,false,,,pypi,false,,,false,false,0,0,0,0,0,0,no-remote-endpoint
tools.clean/mcp,0.1.1,active,true,streamable-http,https://mcp.clean.tools/mcp,npm,true,200,initialize,true,false,42,42,42,42,42,42,
io.github.pipeworx-io/data-montreal,0.1.0,active,true,streamable-http,https://gateway.pipeworx.io/data-montreal/mcp,,true,200,initialize,true,false,34,34,34,34,34,34,
io.tooloracle/hoteloracle,1.0.0,active,true,streamable-http,https://tooloracle.io/hotel/mcp/,,true,200,initialize,true,false,8,0,0,0,0,0,
com.attestwire/en16931,1.1.2,active,true,streamable-http,https://api.attestwire.com/mcp,npm,true,200,initialize,true,false,9,9,9,9,9,9,
com.familiartarot/tarot,1.0.2,active,true,streamable-http,https://mcp.familiartarot.com/mcp,,true,401,,false,true,0,0,0,0,0,0,auth-required-401
ai.sugra/api-mcp,0.9.1,active,true,streamable-http,https://app.sugra.ai/mcp,pypi,true,200,initialize,true,false,11,11,11,11,11,11,
io.github.Ansvar-Systems/eu-regulations-mcp,0.7.1,active,false,,,npm,false,,,false,false,0,0,0,0,0,0,no-remote-endpoint
io.github.SmartMobileHouse/regon-mcp,0.2.2,active,false,,,pypi,false,,,false,false,0,0,0,0,0,0,no-remote-endpoint
